name,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Qinghai Province,99.9595578323,100.7536691789,102.0421351945,100,103.2593877804,103.3810753698,104.8641242293,111.7796610169,111.7111524933,124.0589523999,136.4372101482,134.7748087999,116.5744724442,107.5420125531,111.1122294917,111.1196614082,111.3250802384,110.7655921514,110.3561229632,110.1385086165,110.5047220932,109.4606608386,108.5420046554,107.9720942834,107.6561582142,106.9171701913,107.6350436816,107.5080828643,107.6542491269,107.8263841422,106.9422039272,106.2718914186,106.29257217,105.7892806622,105.6093856387,105.2905996013,104.7650163358,105.5647759445,104.9918558973,104.7920007546,104.8108686549,105.0664223546,105.0399314172,104.8340516284,104.9176728869,104.9641096601,104.9141932462,104.9183767678,104.0849942349,100.5824390633,103.5048501058,107.0389225157,103.5329364616,105.2974988349,104.1534401652,105.4392188275,104.5026729915,103.4697971618,102.7195883866,101.585627523
Shaanxi Province,110.72,111.161387632,115.0506512301,115.2112676056,116.4879356568,115.2542372881,117.91613723,115.4601226994,114.6428571429,113.023255814,113.6363636364,114.5695364238,111.3856068743,110.1570680628,110.0102145046,110.2102102102,109.8825831703,109.8564593301,109.7196261682,108.8262056415,108.7111111111,108.7704213242,109.3198992443,108.660130719,108.5463258786,108.398744113,108.3591331269,108.4226646248,108.1694402421,108.1647940075,107.7720207254,107.703595011,107.7592458303,107.874015748,108.4637268848,108.8732394366,109.0529247911,109.2159559835,109.2818428184,109.3333333333,109.4302554028,108.6847073631,109.0118085768,109.1523341523,109.4282238443,109.4464500602,109.481216458,108.2892416226,109.5070422535,109.4350611532,109.617612978,108.466819222,105.9088351154,105.7110862262,105.2280311457,105.8333333333,105.9800664452,105.8985667034,105.8209774849,105.7986870897
Shandong Province,93.5744680851,93.4945788157,96.1044343141,98.2340862423,99.0299110752,99.5260663507,100,99.9239254469,100.5599104143,100.5919348872,101.992481203,100.2315708221,99.8861047836,100.3692762186,100.8270406329,100.9318996416,100.7381370826,100.9962212298,101.010441226,101.1235955056,100.9300833868,101.28125,101.6579674547,101.5987933635,101.8722139673,101.9383259912,102.2338265158,102.415875755,102.4237239806,102.4886877828,102.4636058231,102.5541365908,102.8806584362,103.1995661605,103.4974441754,103.6533333333,103.9491121124,104.1207349081,104.378238342,104.4677048762,104.525,104.2181818182,104.0650406504,103.9458046114,103.8789025544,103.7918040509,103.675093633,103.6554132712,103.6052692397,103.5329203946,103.4663625998,103.3763879447,103.2432432432,103.2265292404,103.1222123104,103.1028368794,103.0636984792,102.8852459016,102.8875379939,102.7849740933
Shanghai Municipality,120.5305853979,117.3489192766,119.4055944056,118.6361727311,117.3916116038,114.3651948892,111.4568839719,108.211182161,108.0701119257,105.5015738333,102.0769880725,102.1085259452,99.7905857938,98.1493622043,98.5207647646,98.5414001097,98.6397646375,98.7251328364,99.2683234515,99.3223933713,98.4238400987,98.3889166343,98.0213089802,97.7274838806,98.0583063397,98.0997712346,98.0648246937,98.051174973,97.9755462016,97.6817020051,98.0165809634,98.627906171,99.0891658677,99.5149487062,99.8878360733,100.0664242183,100.4464653454,100.8851577146,101.2968601485,101.4714331312,101.6699845167,101.7148156298,101.7017409154,101.6531122928,101.7294568571,101.7819690214,101.797205725,101.7461373092,101.6061031921,101.5207600716,101.4203978955,101.431140645,101.4419720106,101.4905312755,101.3762569413,101.2455171798,100.9988917621,100.7689824191,100.4798045887,100.0143787654
Shanxi Province,111.824044981,111.4460744801,112.2115837388,112.1977186312,112.2898378218,113.3595571096,113.3946251768,114.4967554881,114.3899473044,113.7808255308,114.6573930963,114.6584320645,112.7394874347,111.9111219038,112.2480436329,112.3007098801,111.7673681828,111.8390422348,112.3582024433,111.5413096372,111.6183001136,111.2033610083,111.2119437939,111.597667081,111.3774698005,111.2416261356,110.8578122184,110.9422222222,110.681658468,110.6562364189,110.3670592281,110.3814459264,109.4947807933,109.3832236842,109.8249027237,110.2172871066,110.4786647772,110.4381543234,110.2607104742,109.9543788797,110.088365243,108.5089549018,109.4255001068,109.5147679325,109.4701710471,109.3784378438,109.2052484873,109.1129194969,108.7670322366,108.4231274639,108.2894480203,107.2755121578,107.2731880385,107.1770033967,105.9338884056,105.5089967957,105.0981111315,104.6328300285,104.7127685252,105.4083353409
Sichuan Province, ,103.9061752034,103.7875974749,103.8447987316,104.0954741098,104.3846153846,104.6267968652,104.5883221256,104.5502050004,105.646365581,105.9261095958,105.5603300103,104.0438926292,102.1341726309,102.250669344,103.3684468398,103.3283440996,103.7539143054,104.1193919169,104.1840252837,104.1246466832,104.2383748397,104.0151961748,103.718784794,103.9789277967,103.9675082593,104.2091192633,104.625602445,104.8448652586,104.9588453513,104.9713578399,105.2143983938,105.8835278341,105.9641698406,106.2317292557,106.4711489934,106.6427139037,106.8140520896,106.9760487182,107.0627381527,107.278329703,107.4571548733,107.6065094167,107.6921077935,107.8888831411,108.0109929624,108.0717946103,108.0480145867,108.0059396471,107.9860937422,107.8788330971,107.6643778096,107.7366295676,107.7490684448,107.7959412381,107.8519091722,105.3513378345,103.2089552239,102.8706939591,102.1863354037
Tianjin Municipality,111.7071631429,109.8876172801,113.2944489139,113.5868508072,113.0982019364,111.4903399797,109.1232888469,106.9611725799,106.5234344537,107.0737971146,107.722996962,107.3962183679,104.6626497583,103.2103988264,104.9460431655,105.0754145356,104.2070886562,104.1248606466,104.2630784708,103.2581375865,102.9914529915,102.7648337993,102.7815986551,102.9999398207,103.0005941771,103.5598800635,103.7098223343,103.954965358,103.8169030192,103.403729499,102.9366560545,102.9731414478,102.9008326217,103.0393543992,103.0642325197,103.1356927634,103.3504308058,103.5745509954,103.5916081167,103.54353626,103.4879556903,103.2019704434,103.069440566,102.960260466,102.8740238624,102.8518062958,102.6730699529,102.5041134176,102.3295556755,102.1418202122,102.0579420579,102.0515320026,101.9175963769,101.8359503678,101.8880676739,101.8593878523,101.7678394982,101.6555095101,101.521232114,101.4240868173
Tibet Autonomous Region, , , , , , , , , , ,94.3653054764,94.4563552833, , , , ,95.3554637413,95.0698324022,94.4694797214,94.5844504021,94.418910046,94.5194905442,94.3818818819,94.7188264059,94.9503410315,94.7479484174,94.939481268,94.8683169436,94.6790821417,95.388986014,95.7882327725,95.5255382018,96.2638522427,96.6438071488,95.922093731,96.4835164835,97.3681606807,95.6992364937,96.84778493,97.1858456395,97.1420745069,98.4798834881,96.9890754063,96.8971243772,97.80485697,97.6653033402,97.6837865055,98.7706620151,99.2284963887,97.9190191966,98.8760436737,98.9389500356,98.6998746867,99.4689989068,99.8381003778,99.8331184101,102.0617778113,100.3281867681,100.1682762657,101.1598587998
Xinjiang Uyghur Autonomous Region,107.3992533742,107.8656939768,107.716909581,107.9343793304,110.1942174181,112.49256395,113.9280190612,115.0399290151,114.5284687248,117.5545427376,122.4133794852,123.225785468,121.1060596625,115.7248233079,114.0280320538,114.5847750865,113.120509912,112.8985544066,111.2066668282,110.3603186365,108.9950605799,107.6107060099,107.0251322209,106.6318897638,106.390236507,105.5691487419,105.6043310242,105.0811988724,104.8199098702,104.5369341274,104.428855106,104.227010854,104.9175171806,105.4328311607,104.7042205948,104.6469137306,104.8891364232,104.9290559554,104.8371591704,104.9895810879,105.0567580907,105.5046364736,105.5140594635,105.4954627005,105.5969671354,105.5675866237,104.2902991774,106.0863730633,105.7457637267,105.7036906233,105.4350593736,107.2539614945,103.5001518504,104.9186322911,105.802854072,105.541886105,105.0017845307,105.0020500205,104.876498543,103.5410318378
Yunnan Province, , , , ,96.8111722695,97.1571011131,98.7836290784,98.5285239964,98.6489883122,100.5573131639,99.0805722735,98.0296853768,96.7767662016,96.8621868452,97.6007274078,99.1664997759,99.0950059442,99.5761423589,99.0331732108,100.2093912395,100.2074140182,99.1685827718,99.2353917561,99.3905406518,99.4590355584,99.7895065097,99.9521660462,100.1607117428,100.355721014,100.3908680772,100.2229106122,100.4187245008,101.3501355759,101.9623523622,102.1484493536,102.5528592023,102.9268582284,103.1286481438,103.5362552554,103.6260623229,104.163868368,105.0005495109,105.214324471,105.5028157683,105.7621014723,106.0143297945,106.2448304384,106.5467368529,106.6528696179,106.6939345571,106.868646995,106.9894572433,107.1207729469,107.0776583035,107.178030303,107.1793909249,107.1687924774,107.1722353159,107.1687548763,107.168589539
Zhejiang Province,109.790216833,109.7973674581,109.8726609209,110.3871532069,110.5462949213,110.6505552637,110.6158218018,110.0688801176,109.8269142115,111.3527685255,109.8578467006,110.5083002555,109.7457424607,109.250413517,108.8967626436,109.0117864336,108.6328651349,108.5707213433,108.4840382652,108.4299996059,108.4562098288,108.0696778404,108.2689767456,108.0744555124,108.0842544218,108.0020327815,108.082139732,108.0414853858,107.977783388,108.0780176072,107.8068747842,107.854469606,107.7034914912,121.9992166577,107.8142042118,107.7970264827,107.8303341637,107.8666203614,107.7411647285,107.6008543307,107.5333448386,107.471585342,107.3941948295,107.3302405681,107.3123840468,107.253787065,107.0826362857,106.9121346782,106.7036547118,106.4878318327,106.3663491653,106.0356665507,105.8243054322,105.6499582895,105.3989900585,105.0762558469,104.7279472933,104.4385857997,104.158231897,103.9175768965
